"","subject","tBodyAcc-std()-Z"
"1",1,-0.504033213201156
"2",2,-0.59102164595894
"3",3,-0.660477613935673
"4",4,-0.705030478805031
"5",5,-0.645333374523179
"6",6,-0.669819086160988
"7",7,-0.449090232221753
"8",8,-0.494124231021277
"9",9,-0.501342130179861
"10",10,-0.616818148387755
"11",11,-0.662457425253165
"12",12,-0.69479276385625
"13",13,-0.583625738151534
"14",14,-0.296356818345155
"15",15,-0.705367206396341
"16",16,-0.598061930838798
"17",17,-0.664535501342935
"18",18,-0.700697889450549
"19",19,-0.651637465259444
"20",20,-0.633644359706215
"21",21,-0.672209445259804
"22",22,-0.652225321847826
"23",23,-0.44819498528871
"24",24,-0.638204198586387
"25",25,-0.649759381421569
"26",26,-0.707849796494898
"27",27,-0.684377303079787
"28",28,-0.685661982722513
"29",29,-0.608356983556977
"30",30,-0.522784316991771
